,index,as_of_date,action,quantity,sec_type,symbol,trading_class,multiplier,price,commission,trade_time,sub_strategy,quantity_direction,hedge_value
0,42,2022-03-07,SLD,1,FUT,ES,ES,50,4256.5,2.15,20220307  10:55:04,DH,-1,212822.85
1,44,2022-03-07,BOT,1,FUT,ES,ES,50,4259.5,2.15,20220307  10:59:04,DH,1,-212977.15
2,61,2022-03-07,SLD,1,FUT,ES,ES,50,4258.25,2.15,20220307  11:01:45,DH,-1,212910.35
3,67,2022-03-07,BOT,1,FUT,ES,ES,50,4262.75,2.15,20220307  11:05:34,DH,1,-213139.65
4,68,2022-03-07,SLD,1,FUT,ES,ES,50,4253.25,2.15,20220307  11:37:34,DH,-1,212660.35
5,69,2022-03-07,BOT,1,FUT,ES,ES,50,4264.25,2.15,20220307  11:47:34,DH,1,-213214.65
6,70,2022-03-07,SLD,1,FUT,ES,ES,50,4248.75,2.15,20220307  11:55:34,DH,-1,212435.35
7,71,2022-03-07,SLD,1,FUT,ES,ES,50,4243.75,2.15,20220307  11:59:34,DH,-1,212185.35
8,72,2022-03-07,SLD,1,FUT,ES,ES,50,4238.25,2.15,20220307  12:07:34,DH,-1,211910.35
9,73,2022-03-07,BOT,1,FUT,ES,ES,50,4240.5,2.15,20220307  12:09:35,DH,1,-212027.15
10,74,2022-03-07,SLD,1,FUT,ES,ES,50,4233.5,2.15,20220307  12:19:35,DH,-1,211672.85
11,75,2022-03-07,SLD,1,FUT,ES,ES,50,4226.5,2.15,20220307  12:23:35,DH,-1,211322.85
12,76,2022-03-07,SLD,1,FUT,ES,ES,50,4226.25,2.15,20220307  12:25:35,DH,-1,211310.35
13,77,2022-03-07,BOT,1,FUT,ES,ES,50,4230.25,2.15,20220307  12:27:35,DH,1,-211514.65
14,78,2022-03-07,BOT,1,FUT,ES,ES,50,4233.25,2.15,20220307  12:43:35,DH,1,-211664.65
15,79,2022-03-07,SLD,1,FUT,ES,ES,50,4231.0,2.15,20220307  12:45:35,DH,-1,211547.85
16,80,2022-03-07,BOT,1,FUT,ES,ES,50,4238.0,2.15,20220307  12:49:35,DH,1,-211902.15
17,81,2022-03-07,SLD,1,FUT,ES,ES,50,4232.0,2.15,20220307  12:57:35,DH,-1,211597.85
18,82,2022-03-07,BOT,1,FUT,ES,ES,50,4239.5,2.15,20220307  13:01:35,DH,1,-211977.15
19,83,2022-03-07,BOT,1,FUT,ES,ES,50,4244.25,2.15,20220307  13:03:35,DH,1,-212214.65
20,84,2022-03-07,SLD,1,FUT,ES,ES,50,4233.0,2.15,20220307  13:11:35,DH,-1,211647.85
21,85,2022-03-07,SLD,1,FUT,ES,ES,50,4228.75,2.15,20220307  13:15:35,DH,-1,211435.35
22,86,2022-03-07,SLD,1,FUT,ES,ES,50,4224.75,2.15,20220307  13:21:35,DH,-1,211235.35
23,87,2022-03-07,BOT,1,FUT,ES,ES,50,4229.25,2.15,20220307  13:23:35,DH,1,-422927.15
24,88,2022-03-07,BOT,1,FUT,ES,ES,50,4234.0,2.15,20220307  13:27:35,DH,1,-423402.15
25,89,2022-03-07,SLD,1,FUT,ES,ES,50,4230.0,2.15,20220307  13:35:35,DH,-1,422997.85
26,90,2022-03-07,BOT,1,FUT,ES,ES,50,4234.0,2.15,20220307  13:37:36,DH,1,-423402.15
27,91,2022-03-07,BOT,1,FUT,ES,ES,50,4240.25,2.15,20220307  13:39:35,DH,1,-424027.15
28,92,2022-03-07,SLD,1,FUT,ES,ES,50,4238.0,2.15,20220307  13:43:35,DH,-1,423797.85
29,93,2022-03-07,SLD,1,FUT,ES,ES,50,4232.25,2.15,20220307  13:49:36,DH,-1,423222.85
30,94,2022-03-07,BOT,1,FUT,ES,ES,50,4234.25,2.15,20220307  13:51:36,DH,1,-423427.15
31,95,2022-03-07,SLD,1,FUT,ES,ES,50,4230.75,2.15,20220307  13:55:36,DH,-1,423072.85
32,96,2022-03-07,BOT,1,FUT,ES,ES,50,4232.0,2.15,20220307  14:09:36,DH,1,-423202.15
33,97,2022-03-07,BOT,1,FUT,ES,ES,50,4241.5,2.15,20220307  14:17:36,DH,1,-424152.15
34,98,2022-03-07,SLD,1,FUT,ES,ES,50,4235.75,2.15,20220307  14:21:36,DH,-1,423572.85
35,99,2022-03-07,SLD,1,FUT,ES,ES,50,4229.75,2.15,20220307  14:23:36,DH,-1,422972.85
36,100,2022-03-07,BOT,1,FUT,ES,ES,50,4232.75,2.15,20220307  14:25:36,DH,1,-423277.15
37,101,2022-03-07,SLD,1,FUT,ES,ES,50,4229.0,2.15,20220307  14:31:36,DH,-1,422897.85
38,102,2022-03-07,SLD,1,FUT,ES,ES,50,4221.0,2.15,20220307  14:43:36,DH,-1,422097.85
39,103,2022-03-07,BOT,1,FUT,ES,ES,50,4226.0,2.15,20220307  14:47:36,DH,1,-422602.15
40,104,2022-03-07,SLD,1,FUT,ES,ES,50,4224.5,2.15,20220307  14:49:36,DH,-1,422447.85
41,105,2022-03-07,SLD,1,FUT,ES,ES,50,4216.25,2.15,20220307  15:09:36,DH,-1,421622.85
42,106,2022-03-07,BOT,1,FUT,ES,ES,50,4215.5,2.15,20220307  15:21:37,DH,1,-210777.15
43,107,2022-03-07,SLD,1,FUT,ES,ES,50,4211.0,2.15,20220307  15:31:37,DH,-1,-2.15
44,123,2022-03-07,SLD,1,FUT,ES,ES,50,4208.0,2.15,20220307  15:41:37,DH,-1,210397.85
45,124,2022-03-07,BOT,1,FUT,ES,ES,50,4213.75,2.15,20220307  15:43:37,DH,1,-421377.15
46,125,2022-03-07,SLD,1,FUT,ES,ES,50,4210.0,2.15,20220307  15:45:37,DH,-1,420997.85
47,126,2022-03-07,SLD,6,FUT,ES,ES,50,4202.5,12.9,20220307  15:55:24,DH,-6,2521487.1
48,191,2022-03-08,BOT,1,FUT,ES,ES,50,4203.25,2.15,20220308  09:30:41,DH,1,-420327.15
49,192,2022-03-08,SLD,1,FUT,ES,ES,50,4196.25,2.15,20220308  09:32:40,DH,-1,419622.85
50,193,2022-03-08,SLD,1,FUT,ES,ES,50,4193.0,2.15,20220308  09:34:40,DH,-1,419297.85
51,194,2022-03-08,BOT,2,FUT,ES,ES,50,4208.25,4.3,20220308  09:36:40,DH,2,-841654.3
52,195,2022-03-08,SLD,1,FUT,ES,ES,50,4199.75,2.15,20220308  09:38:40,DH,-1,419972.85
53,196,2022-03-08,SLD,2,FUT,ES,ES,50,4181.0,4.3,20220308  09:40:40,DH,-2,836195.7
54,197,2022-03-08,BOT,1,FUT,ES,ES,50,4192.25,2.15,20220308  09:42:40,DH,1,-419227.15
55,198,2022-03-08,BOT,2,FUT,ES,ES,50,4204.75,4.3,20220308  09:44:40,DH,2,-840954.3
56,199,2022-03-08,BOT,1,FUT,ES,ES,50,4212.0,2.15,20220308  09:46:40,DH,1,-421202.15
57,200,2022-03-08,SLD,2,FUT,ES,ES,50,4198.75,4.3,20220308  09:50:40,DH,-2,839745.7
58,201,2022-03-08,BOT,1,FUT,ES,ES,50,4203.5,2.15,20220308  09:52:40,DH,1,-420352.15
59,202,2022-03-08,SLD,2,FUT,ES,ES,50,4188.5,4.3,20220308  09:54:40,DH,-2,837695.7
60,203,2022-03-08,SLD,1,FUT,ES,ES,50,4186.75,2.15,20220308  09:56:40,DH,-1,418672.85
61,204,2022-03-08,BOT,1,FUT,ES,ES,50,4188.25,2.15,20220308  09:58:30,DH,1,-209414.65
62,205,2022-03-08,SLD,2,FUT,ES,ES,50,4180.5,4.3,20220308  10:00:29,DH,-2,836095.7
63,206,2022-03-08,SLD,1,FUT,ES,ES,50,4174.0,2.15,20220308  10:02:29,DH,-1,417397.85
64,207,2022-03-08,SLD,1,FUT,ES,ES,50,4170.0,2.15,20220308  10:04:29,DH,-1,416997.85
65,208,2022-03-08,SLD,1,FUT,ES,ES,50,4164.75,2.15,20220308  10:08:29,DH,-1,416472.85
66,209,2022-03-08,BOT,1,FUT,ES,ES,50,4170.0,2.15,20220308  10:12:29,DH,1,-2.15
67,210,2022-03-08,BOT,2,FUT,ES,ES,50,4182.5,4.3,20220308  10:16:29,DH,2,-418254.3
68,211,2022-03-08,BOT,2,FUT,ES,ES,50,4193.25,4.3,20220308  10:20:29,DH,2,-419329.3
69,212,2022-03-08,SLD,1,FUT,ES,ES,50,4185.25,2.15,20220308  10:22:29,DH,-1,209260.35
70,213,2022-03-08,SLD,1,FUT,ES,ES,50,4180.25,2.15,20220308  10:24:29,DH,-1,209010.35
71,214,2022-03-08,SLD,1,FUT,ES,ES,50,4173.5,2.15,20220308  10:26:29,DH,-1,208672.85
72,215,2022-03-08,SLD,1,FUT,ES,ES,50,4166.25,2.15,20220308  10:32:29,DH,-1,208310.35
73,216,2022-03-08,SLD,1,FUT,ES,ES,50,4159.25,2.15,20220308  10:34:29,DH,-1,207960.35
74,217,2022-03-08,BOT,1,FUT,ES,ES,50,4163.5,2.15,20220308  10:36:29,DH,1,-208177.15
75,218,2022-03-08,BOT,1,FUT,ES,ES,50,4168.75,2.15,20220308  10:42:29,DH,1,-208439.65
