,as_of_date,action,quantity,sec_type,symbol,trading_class,multiplier,price,commission,trade_time,sub_strategy,quantity_direction,hedge_value
0,2022-03-09,BOT,10,FUT,ES,ES,50,4247.75,21.5,20220309  09:31:58,DH,10,-2123896.5
1,2022-03-09,SLD,1,FUT,ES,ES,50,4242.75,2.15,20220309  09:51:58,DH,-1,212135.35
2,2022-03-09,SLD,1,FUT,ES,ES,50,4233.5,2.15,20220309  09:53:58,DH,-1,211672.85
3,2022-03-09,BOT,1,FUT,ES,ES,50,4243.0,2.15,20220309  09:57:58,DH,1,-212152.15
4,2022-03-09,BOT,1,FUT,ES,ES,50,4252.5,2.15,20220309  10:01:58,DH,1,-212627.15
5,2022-03-09,BOT,1,FUT,ES,ES,50,4260.0,2.15,20220309  10:03:58,DH,1,-213002.15
6,2022-03-09,SLD,1,FUT,ES,ES,50,4252.75,2.15,20220309  10:15:58,DH,-1,212635.35
7,2022-03-09,BOT,1,FUT,ES,ES,50,4256.75,2.15,20220309  10:17:58,DH,1,-212839.65
8,2022-03-09,SLD,1,FUT,ES,ES,50,4255.25,2.15,20220309  10:31:58,DH,-1,212760.35
9,2022-03-09,BOT,1,FUT,ES,ES,50,4257.25,2.15,20220309  10:33:58,DH,1,-212864.65
10,2022-03-09,BOT,1,FUT,ES,ES,50,4265.25,2.15,20220309  10:35:58,DH,1,-213264.65
11,2022-03-09,SLD,1,FUT,ES,ES,50,4263.75,2.15,20220309  10:37:58,DH,-1,213185.35
12,2022-03-09,BOT,1,FUT,ES,ES,50,4264.0,2.15,20220309  10:39:58,DH,1,-213202.15
13,2022-03-09,SLD,1,FUT,ES,ES,50,4263.25,2.15,20220309  10:41:58,DH,-1,213160.35
14,2022-03-09,BOT,1,FUT,ES,ES,50,4264.5,2.15,20220309  10:43:59,DH,1,-213227.15
15,2022-03-09,SLD,1,FUT,ES,ES,50,4261.5,2.15,20220309  10:45:58,DH,-1,213072.85
16,2022-03-09,BOT,1,FUT,ES,ES,50,4263.5,2.15,20220309  10:49:59,DH,1,-213177.15
17,2022-03-09,SLD,1,FUT,ES,ES,50,4261.25,2.15,20220309  10:53:59,DH,-1,213060.35
18,2022-03-09,BOT,1,FUT,ES,ES,50,4265.0,2.15,20220309  10:55:59,DH,1,-213252.15
19,2022-03-09,SLD,1,FUT,ES,ES,50,4260.75,2.15,20220309  11:03:59,DH,-1,213035.35
20,2022-03-09,BOT,1,FUT,ES,ES,50,4265.0,2.15,20220309  11:07:59,DH,1,-213252.15
21,2022-03-09,SLD,1,FUT,ES,ES,50,4261.5,2.15,20220309  11:09:59,DH,-1,213072.85
22,2022-03-09,SLD,1,FUT,ES,ES,50,4251.5,2.15,20220309  11:15:59,DH,-1,212572.85
42,2022-03-07,SLD,1,FUT,ES,ES,50,4256.5,2.15,20220307  10:55:04,DH,-1,212822.85
44,2022-03-07,BOT,1,FUT,ES,ES,50,4259.5,2.15,20220307  10:59:04,DH,1,-212977.15
61,2022-03-07,SLD,1,FUT,ES,ES,50,4258.25,2.15,20220307  11:01:45,DH,-1,212910.35
67,2022-03-07,BOT,1,FUT,ES,ES,50,4262.75,2.15,20220307  11:05:34,DH,1,-213139.65
68,2022-03-07,SLD,1,FUT,ES,ES,50,4253.25,2.15,20220307  11:37:34,DH,-1,212660.35
69,2022-03-07,BOT,1,FUT,ES,ES,50,4264.25,2.15,20220307  11:47:34,DH,1,-213214.65
70,2022-03-07,SLD,1,FUT,ES,ES,50,4248.75,2.15,20220307  11:55:34,DH,-1,212435.35
71,2022-03-07,SLD,1,FUT,ES,ES,50,4243.75,2.15,20220307  11:59:34,DH,-1,212185.35
72,2022-03-07,SLD,1,FUT,ES,ES,50,4238.25,2.15,20220307  12:07:34,DH,-1,211910.35
73,2022-03-07,BOT,1,FUT,ES,ES,50,4240.5,2.15,20220307  12:09:35,DH,1,-212027.15
74,2022-03-07,SLD,1,FUT,ES,ES,50,4233.5,2.15,20220307  12:19:35,DH,-1,211672.85
75,2022-03-07,SLD,1,FUT,ES,ES,50,4226.5,2.15,20220307  12:23:35,DH,-1,211322.85
76,2022-03-07,SLD,1,FUT,ES,ES,50,4226.25,2.15,20220307  12:25:35,DH,-1,211310.35
77,2022-03-07,BOT,1,FUT,ES,ES,50,4230.25,2.15,20220307  12:27:35,DH,1,-211514.65
78,2022-03-07,BOT,1,FUT,ES,ES,50,4233.25,2.15,20220307  12:43:35,DH,1,-211664.65
79,2022-03-07,SLD,1,FUT,ES,ES,50,4231.0,2.15,20220307  12:45:35,DH,-1,211547.85
80,2022-03-07,BOT,1,FUT,ES,ES,50,4238.0,2.15,20220307  12:49:35,DH,1,-211902.15
81,2022-03-07,SLD,1,FUT,ES,ES,50,4232.0,2.15,20220307  12:57:35,DH,-1,211597.85
